Gene,Phecode,RareGPS,Indication,Max phase,Indicated mechanism,Indicated drugs,Druggable gene,DrugnomeAI,Predicted mechanism,Activators,Inhibitors,Other drugs
CABP4,SO_386.5 [Color vision deficiencies],0.058,0,0.0,,,0,0.007,Activation,,,
DNM2,GE_964.3 [Glycogen storage disease],0.058,0,0.0,,,1,0.003,Activation,,,
SIAH1,SO_386.5 [Color vision deficiencies],0.058,0,0.0,,,0,0.0,,,,
ARHGEF6,GI_516.1 [Pyloric stenosis],0.058,0,0.0,,,0,0.006,,,,
FOXO3,GI_540.11 [Autoimmune hepatitis],0.058,0,0.0,,,1,0.126,,,,
SOS1,CM_770.5 [Congenital osteodystrophies],0.058,0,0.0,,,1,0.287,,,,
SETDB1,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.058,0,0.0,,,0,0.002,,,,
CST3,EM_249.1 [Cerebral amyloid angiopathy*],0.058,0,0.0,,,0,0.006,,,,
LCA5,SO_386.6 [Night blindness],0.058,0,0.0,,,0,0.001,,,,
BMAL1,GI_540.11 [Autoimmune hepatitis],0.058,0,0.0,,,0,,,,,
VEGFA,EM_208.1 [Hypoparathyroidism],0.058,0,0.0,,,1,0.978,,,"abicipar, aflibercept, bevacizumab, brolucizumab, conbercept, faricimab, muparfostat, pegaptanib, ranibizumab, vanucizumab","bevacizumab 111in, bevasiranib"
GNAT1,SO_386.5 [Color vision deficiencies],0.058,0,0.0,,,0,0.026,,,,
GAS1,GU_580.1 [Acute nephritic syndrome],0.058,0,0.0,,,0,0.004,,,,
POU5F1,EM_208.1 [Hypoparathyroidism],0.058,0,0.0,,,1,0.027,,,,
MS4A1,BI_179.7 [Common variable immunodeficiency [CVID]],0.058,0,0.0,,,1,0.978,Activation,,,"epcoritamab, fbt-a05, glofitamab, ibritumomab tiuxetan, lfb-r603, mosunetuzumab, mt-3724, obinutuzumab, ocaratuzumab, ocrelizumab, odronextamab, ofatumumab, rituximab, tositumomab, tositumomab 131i, tru-015, ublituximab, veltuzumab, yttrium y 90 ibritumomab tiuxetan"
BECN1,MS_704.1 [Polyarteritis nodosa and related conditions],0.058,0,0.0,,,0,0.026,,,,
LAMP1,GI_542.8 [Biliary cirrhosis],0.058,0,0.0,,,1,0.016,,,,
ERCC2,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.058,0,0.0,,,0,0.003,Activation,,,
WT1,GE_976.5 [Polycystic kidney disease],0.058,0,0.0,,,1,0.52,Activation,,,"galinpepimut-s, ombipepimut-s"
MAPK8IP3,NS_323.3 [Motor neuron disease],0.058,0,0.0,,,0,0.004,,,,
CD163,GE_978.22 [Ehler's Danlos syndrome],0.058,0,0.0,,,1,0.09,,,,
MYO5A,GE_972.2 [Hereditary ataxia],0.058,0,0.0,,,0,0.003,Activation,,,
INSR,NS_333.4 [Circadian rhythm sleep disorder],0.058,0,0.0,,,1,0.998,,"insulin, insulin   /, insulin   extended, insulin   prompt, insulin  isophane, insulin  isophane /, insulin  protamine, insulin  protamine  /, insulin , extended, insulin , prompt, insulin aspart, insulin aspart protamine, insulin biphasic, insulin degludec, insulin detemir, insulin glargine, insulin glulisine, insulin isophane, insulin lispro, insulin lispro protamine, insulin peglispro, insulin tregopil, insulin, isophane, insulin, protamine","bms-754807, kw-2450, kw-2450 free base, linsitinib",
RPL18A,GU_580.1 [Acute nephritic syndrome],0.058,1,1.0,Other or unknown,elx-02 (I),1,0.001,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
TBX18,CM_763.31 [Ventricular septal defect],0.058,0,0.0,,,0,0.002,,,,
CLEC16A,GI_542.8 [Biliary cirrhosis],0.058,0,0.0,,,0,0.0,,,,
PREP,GE_973.5 [Huntington's disease],0.058,0,0.0,,,1,0.906,,,,
HGF,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.058,0,0.0,,,1,0.991,,,"ficlatuzumab, rilotumumab",
FGFR1,MS_712.51 [Hypermobility syndrome],0.058,0,0.0,,,1,0.998,,,"azd-4547, brivanib, brivanib alaninate, cp-459632, derazantinib, e-7090, enmd-981693, erdafitinib, fgfr inhibitor debio 1347, futibatinib, hmpl-453, infigratinib, lucitanib, ly-2874455, nintedanib, nintedanib esylate, orantinib, pazopanib, pd-0166285, pemigatinib, regorafenib, rg-1530, rogaratinib, sorafenib, surufatinib, tg100-801, xl-999",
TUBA1B,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.058,0,0.0,,,1,0.874,,,"ang1005, anvatabart opadotin, aprutumab ixadotin, asg-5me, azintuxizumab vedotin, belantamab mafodotin, bivatuzumab, brentuximab vedotin, cabazitaxel, cantuzumab, colchicine, crolibulin, docetaxel, docetaxel anhydrous, dolastatin-10, enapotamab vedotin, enfortumab vedotin, eribulin, fosbretabulin, glembatumumab vedotin, indibulin, indusatumab vedotin, ixabepilone, ladiratuzumab vedotin, lexibulin, lifastuzumab vedotin, lorvotuzumab, milataxel, mirvetuximab soravtansine, ombrabulin, paclitaxel, pf-06263507, pinatuzumab vedotin, plinabulin, plocabulin, polatuzumab vedotin, praluzatamab ravtansine, rg-7600, rg-7636, rg-7841, soblidotin, sofituzumab vedotin, telisotuzumab vedotin, tisotumab vedotin, trastuzumab emtansine, tusamitamab ravtansine, vandortuzumab vedotin, vinblastine, vincristine, vinflunine, vinorelbine","ags-16c3f, bms-275183, davunetide, epothilone d, fosbretabulin tromethamine, kos-1584, larotaxel, paclitaxel docosahexaenoic acid, paclitaxel poliglumex, patupilone, sagopilone, t-900607, verubulin"
GRIN1,NS_323.3 [Motor neuron disease],0.058,1,3.0,Inhibition,"amantadine (III), memantine (III)",1,0.999,Activation,"apimostinel, neboglamine, rapastinel","acamprosate, amantadine, av-101, azd8108, cns-5161, delucemine, esketamine, evt-101, felbamate, gw468816, indantadol, ketamine, lanicemine, memantine, neramexane, orphenadrine, perzinfotel, radiprodil, ralfinamide, rislenemdaz, tramadol, traxoprodil",
PPP1R12A,GE_976.5 [Polycystic kidney disease],0.058,0,0.0,,,0,0.029,,,,
ESR1,GI_542.8 [Biliary cirrhosis],0.058,0,0.0,,,1,0.997,,"allylestrenol, conjugated estrogens, b, dienestrol, diethylstilbestrol, estetrol, estradiol, estradiol cypionate, estrogens, conjugated, estrogens, conjugated a, estrogens, esterified, estrone, estrone sulfuric acid, estropipate, ethinyl estradiol, gtx-758, mestranol, mk-6913, polyestradiol, quinestrol","amcenestrant, brilanestrant, camizestrant, elacestrant, fulvestrant, giredestrant, sr16234","acolbifene, afimoxifene, arzoxifene, bazedoxifene, chf4227, clomiphene, cyclofenil, droloxifene, enclomiphene, estriol, fispemifene, idoxifene, lasofoxifene, ly2245461, ospemifene, tamoxifen, toremifene"
NDUFS8,CV_414.1 [Hypertrophic cardiomyopathy],0.058,0,0.0,,,1,0.998,,,"me-344, metformin, nv-128",
NDUFAF1,NS_341.1 [Cerebral palsy],0.058,1,2.0,Inhibition,metformin (II),1,0.997,,,"me-344, metformin, nv-128",
PEA15,BI_179.1 [Hypogammaglobulinemia NOS],0.058,0,0.0,,,0,0.006,,,,
RPL31,CM_750.16 [Arnold-Chiari syndrome*],0.058,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
CUL1,MS_727.5 [Cyst of bone],0.058,0,0.0,,,0,0.006,,,,
DCTN1,NS_328.13 [Frontotemporal dementia [FTD]],0.058,0,0.0,,,0,0.003,,,,
ITSN1,CV_433.3 [Cerebrovascular insufficiency],0.058,0,0.0,,,0,0.003,,,,
CALM1,GE_961.1 [Phakomatoses],0.058,0,0.0,,,1,,,,"benziodarone, prenylamine",
ADCY5,GE_973.5 [Huntington's disease],0.058,0,0.0,,,1,0.869,Activation,,,
GCH1,NS_341.1 [Cerebral palsy],0.058,0,0.0,,,1,0.066,,,,
SLC38A2,CV_433.3 [Cerebrovascular insufficiency],0.058,0,0.0,,,0,0.003,,,,
CDH13,SO_369.62 [Keratoconus],0.058,0,0.0,,,0,0.026,,,,
EBP,GE_978.3 [Osteochondrodysplasias],0.058,0,0.0,,,1,0.008,Activation,,,
SNAI2,GU_580.52 [Diffuse membranous glomerulonephritis],0.058,0,0.0,,,0,0.012,,,,
HTR1A,MB_296.4 [Borderline personality disorder],0.058,1,4.0,Activation,"aripiprazole (IV), brexpiprazole (II), ziprasidone (II)",1,0.999,,"adoprazine, aripiprazole, befiradol, bifeprunox, brexpiprazole, buspirone, dexfenfluramine, ergoloid, gepirone, methysergide, naluzotan, osemozotan, pardoprunox, piclozotan, repinotan, sarizotan, ulotaront, vilazodone, vortioxetine, xaliproden","alverine, amisulpride, du 125530, gsk163090, lecozotan, robalzotan, zimeldine, ziprasidone",
ADAMTS13,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.058,0,0.0,,,1,0.005,,,,
ERH,CM_750.16 [Arnold-Chiari syndrome*],0.058,0,0.0,,,0,0.0,,,,
RPS23,NS_333.4 [Circadian rhythm sleep disorder],0.058,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
WNT1,GE_972.2 [Hereditary ataxia],0.058,0,0.0,,,0,0.001,Activation,,,
KLF9,CM_763.13 [Patent ductus arteriosus],0.058,0,0.0,,,1,0.002,,,,
HMGCR,CV_414.1 [Hypertrophic cardiomyopathy],0.058,1,3.0,Inhibition,atorvastatin (III),1,0.998,,,"atorvastatin, cerivastatin, fluvastatin, lovastatin, pitavastatin, pravastatin, rosuvastatin, simvastatin",
NTRK2,GE_972.1 [Hereditary neuropathy],0.058,1,0.5,Other or unknown,unknown,1,0.997,Activation,cenegermin,"altiratinib, azd-6918, azd-7451, cep-2563, entrectinib, larotrectinib, lestaurtinib, plx-7486, repotrectinib, selitrectinib, taletrectinib",
KDR,GE_964.3 [Glycogen storage disease],0.058,0,0.0,,,1,0.999,,telbermin,"4sc-203, aee-788, ag-13958, alacizumab, altiratinib, axitinib, bfh-772, bms-690514, bms-794833, bms-817378, brivanib, brivanib alaninate, cabozantinib, catequentinib, cediranib, cep-11981, cep-5214, cep-7055, cm-082, cp-459632, cyc-116, dovitinib, enmd-2076, enmd-981693, famitinib, foretinib, fruquintinib, glesatinib, golvatinib, henatinib, ibcasertib, ilorasertib, imc-1c11, ji-101, krn-633, l-21649, lenvatinib, linifanib, lucitanib, midostaurin, motesanib, ningetinib, nintedanib, nintedanib esylate, olinvacimab, orantinib, osi-632, osi-930, pazopanib, pegdinetanib, pf-00337210, puquitinib, raf-265, ramucirumab, regorafenib, rg-1530, rivoceranib, semaxanib, sorafenib, su-014813, sunitinib, surufatinib, tak-593, tas-115, telatinib, tg100-801, tivozanib, vandetanib, vatalanib, x-82, xl-820, xl-999, zd-4190",
FN1,DE_669.2 [Behcet's syndrome],0.058,0,0.0,,,1,0.925,,,,"as-1409, l19il2, l19sip 131i, l19tnfa, mu-bc-1, ocriplasmin, radretumab"
COL11A1,DE_663.2 [Pemphigoid],0.058,0,0.0,,,1,0.004,,,,"collagenase clostridium histolyticum, ocriplasmin"
VEGFA,MS_712.51 [Hypermobility syndrome],0.058,0,0.0,,,1,0.978,,,"abicipar, aflibercept, bevacizumab, brolucizumab, conbercept, faricimab, muparfostat, pegaptanib, ranibizumab, vanucizumab","bevacizumab 111in, bevasiranib"
RPL7,SO_386.6 [Night blindness],0.058,0,0.0,,,1,0.002,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
PTGS2,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.058,0,0.0,,,1,0.999,Activation,,"aceclofenac, acemetacin, acetaminophen, aloxiprin, apazone, apricoxib, aspirin, balsalazide, benzydamine, bismuth subsalicylate, bromfenac, carprofen, celecoxib, cimicoxib, clometacin, dexibuprofen, dexketoprofen, diclofenac, diclofenac etalhyaluronate, diflunisal, dipyrone, esflurbiprofen, etodolac, etoricoxib, fenclofenac, fenoprofen, flurbiprofen, glafenine, gw-406381, ibufenac, ibuprofen, ibuprofen lysine, iguratimod, indomethacin, indoprofen, isoxicam, ketoprofen, ketorolac, ketorolac tromethamine, lornoxicam, loxoprofen, lumiracoxib, meclofenamate, meclofenamic acid, mefenamic acid, meloxicam, mesalamine, metamizole, nabumetone, naproxcinod, naproxen, naproxen etemesil, nepafenac, olsalazine, oxaprozin, oxyphenbutazone, oxyphenbutazone anhydrous, parecoxib, phenylbutazone, piroxicam, pirprofen, polmacoxib, rofecoxib, sulfasalazine, sulindac, suprofen, tolmetin, valdecoxib",
SLC6A6,CV_414.1 [Hypertrophic cardiomyopathy],0.058,0,0.0,,,0,0.001,Activation,,,
GAS1,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.058,0,0.0,,,0,0.004,,,,
GLI3,CM_772.1 [Congenital malformations of endocrine glands],0.058,0,0.0,,,0,0.024,,,,
KITLG,GE_977.6 [Congenital cutaneous mastocytosis*],0.058,0,0.0,,,0,0.143,,,,
DYSF,NS_340.3 [Inflammatory and immune myopathies],0.058,0,0.0,,,1,0.01,Activation,,,
RPL19,GE_963.1 [Lipid storage disorders],0.058,0,0.0,,,1,0.001,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
RUNX1,DE_663.2 [Pemphigoid],0.058,0,0.0,,,1,0.025,,,,
BACE2,NS_340.3 [Inflammatory and immune myopathies],0.058,0,0.0,,,1,0.306,,,,
IL1B,GU_580.1 [Acute nephritic syndrome],0.058,0,0.0,,,1,0.982,,,"canakinumab, cdp-484, gevokizumab, lutikizumab, rilonacept",
KIF1C,NS_341.1 [Cerebral palsy],0.058,0,0.0,,,0,0.001,,,,
MAPRE2,CV_414.1 [Hypertrophic cardiomyopathy],0.058,0,0.0,,,0,0.001,,,,
KITLG,GE_963.1 [Lipid storage disorders],0.058,0,0.0,,,0,0.143,,,,
SPTLC1,GE_973.5 [Huntington's disease],0.058,0,0.0,,,0,0.002,,,,
CIAO3,CV_441 [Arteriovenous malformation],0.058,0,0.0,,,0,,,,,
GRIA2,NS_323.3 [Motor neuron disease],0.058,1,2.0,Inhibition,"perampanel (II), talampanel (II)",1,1.0,,"cx1739, farampator, mibampator, mk-8777, osavampator, pesampator","becampanel, dasolampanel, irampanel, perampanel, selurampanel, talampanel, tezampanel, tezampanel anhydrous, topiramate, zonampanel",
ABL1,GE_970.1 [Sickle-cell disorders],0.058,1,1.0,Inhibition,imatinib (I),1,0.991,,,"asciminib, at-9283, azd-0424, azm-475271, bafetinib, bosutinib, dasatinib, flumatinib, imatinib, kw-2449, nilotinib, olverembatinib, ponatinib, radotinib, rebastinib, regorafenib, ruserontinib, saracatinib, umbralisib, vodobatinib, xl-228",
FOXG1,GE_963.1 [Lipid storage disorders],0.058,0,0.0,,,1,0.001,,,,
TLR8,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.058,0,0.0,,,1,0.975,,"motolimod, resiquimod, selgantolimod, telratolimod","bazlitoran, enpatoran",
HAS2,GU_580.1 [Acute nephritic syndrome],0.058,0,0.0,,,1,0.008,,,,
UBA52,EM_209.4 [Diabetes insipidus],0.058,0,0.0,,,0,0.093,,,,
FERMT2,CV_414.1 [Hypertrophic cardiomyopathy],0.058,0,0.0,,,0,0.003,,,,
GNAS,GE_972.2 [Hereditary ataxia],0.058,0,0.0,,,0,0.386,,,,
UQCRC1,NS_341.1 [Cerebral palsy],0.058,0,0.0,,,0,0.02,,,,
TMEM126B,GE_972.2 [Hereditary ataxia],0.058,0,0.0,,,0,0.535,,,,
KLF2,GE_972.2 [Hereditary ataxia],0.058,0,0.0,,,0,0.004,,,,
YPEL5,RE_484.1 [Spontaneous pneumothorax],0.058,0,0.0,,,0,0.0,,,,
TNF,GI_542.8 [Biliary cirrhosis],0.058,0,0.0,,,1,0.934,,,"adalimumab, afelimomab, az9773, certolizumab, etanercept, golimumab, infliximab, lenercept, nerelimomab, onercept, ozoralizumab, pegsunercept, placulumab, remtolumab",abbv-3373
PIK3R4,NS_323.3 [Motor neuron disease],0.058,0,0.0,,,0,0.226,,,,
PRKCB,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.058,0,0.0,,,1,0.794,,,"cep-2563, enzastaurin, gsk-690693, midostaurin, ruboxistaurin, sotrastaurin, tamoxifen, ucn-01",
SLC24A3,CV_414.1 [Hypertrophic cardiomyopathy],0.058,0,0.0,,,0,0.005,,,,
ABL1,DE_663.2 [Pemphigoid],0.058,0,0.0,,,1,0.991,,,"asciminib, at-9283, azd-0424, azm-475271, bafetinib, bosutinib, dasatinib, flumatinib, imatinib, kw-2449, nilotinib, olverembatinib, ponatinib, radotinib, rebastinib, regorafenib, ruserontinib, saracatinib, umbralisib, vodobatinib, xl-228",
PTPN22,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.058,0,0.0,,,0,0.114,,,,
WWP2,CV_414.1 [Hypertrophic cardiomyopathy],0.058,0,0.0,,,0,0.0,,,,
MYH11,GE_978.22 [Ehler's Danlos syndrome],0.058,0,0.0,,,0,0.009,,,,
FOXO1,NS_339.2 [Myotonic disorders],0.058,0,0.0,,,1,0.047,,,,
SLC6A4,CV_433.3 [Cerebrovascular insufficiency],0.058,1,3.0,Inhibition,"fluoxetine (II), levomilnacipran (III)",1,0.998,,,"amitifadine, amitriptyline, amoxapine, bicifadine, centanafadine, citalopram, clomipramine, dapoxetine, dasotraline, desvenlafaxine, dothiepin, duloxetine, escitalopram, escitalopram oxalate, faxeladol, fluoxetine, fluvoxamine, gsk163090, imipramine, indalpine, levomilnacipran, liafensine, lumateperone, mazindol, methamphetamine, milnacipran, nefazodone, nomifensine, nortriptyline, ns-2359, paroxetine, paroxetine hemihydrate, protriptyline, sertraline, sibutramine, tedatioxetine, tesofensine, trazodone, venlafaxine, vilazodone, vortioxetine",chlorphentermine
HMGB1,CV_438.41 [Aortic dissection],0.058,0,0.0,,,1,0.025,,,cd24fc,
IGF2BP2,GI_540.11 [Autoimmune hepatitis],0.058,0,0.0,,,0,0.002,,,,
EYA1,GU_580.1 [Acute nephritic syndrome],0.058,0,0.0,,,0,0.001,,,,
CACNA1E,GE_961.1 [Phakomatoses],0.058,1,2.0,Conflicting,lamotrigine (II),1,1.0,,,"bepridil, enflurane, lamotrigine, phloroglucinol, suloctidil, terodiline","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
SUB1,GE_963.1 [Lipid storage disorders],0.058,0,0.0,,,0,0.001,,,,
MAP3K5,GE_973.5 [Huntington's disease],0.058,0,0.0,,,1,0.515,,,selonsertib,
CUL3,CV_433.3 [Cerebrovascular insufficiency],0.058,0,0.0,,,0,0.006,,,,
DOCK8,MB_302.1 [Speech and language developmental delay],0.058,0,0.0,,,0,0.004,,,,
GAS1,SO_365.3 [Exophthalmos [Proptosis]],0.058,0,0.0,,,0,0.004,,,,
CCND1,GI_540.11 [Autoimmune hepatitis],0.058,0,0.0,,,1,0.933,,,"briciclib, palbociclib",
PRKAA1,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.058,0,0.0,,,1,0.037,,acadesine,,
BCL2,NS_323.3 [Motor neuron disease],0.058,0,0.0,,,1,0.982,,,"apg-2575, navitoclax, obatoclax, oblimersen, paclitaxel, venetoclax",
NR3C2,CV_438.41 [Aortic dissection],0.058,0,0.0,,,1,0.998,,"desoxycorticosterone, desoxycorticosterone pivalate, fludrocortisone","canrenoate, canrenone, drospirenone, eplerenone, felodipine, finerenone, ly2623091, mt-3995, nimodipine, pf-03882845, progesterone, spironolactone, vamorolone, xl550",balcinrenone
GNAZ,CM_750.16 [Arnold-Chiari syndrome*],0.058,0,0.0,,,0,0.14,,,,
GRN,GU_580.1 [Acute nephritic syndrome],0.057,0,0.0,,,1,0.01,,,,
SYK,GE_961.1 [Phakomatoses],0.057,0,0.0,,,1,0.995,,,"cerdulatinib, entospletinib, fostamatinib, gusacitinib, lanraplenib, mivavotinib, prt-2607, r-112, r-333, r-343, r-348, r-406, sovleplenib",
TYK2,GI_542.8 [Biliary cirrhosis],0.057,0,0.0,,,1,0.988,Activation,,"brepocitinib, cerdulatinib, cravacitinib, delgocitinib, deucravacitinib, filgotinib, gusacitinib, izencitinib, nezulcitinib, peficitinib, ropsacitinib, ruxolitinib, tofacitinib, upadacitinib, upadacitinib hemihydrate",
HNF4A,SO_386.6 [Night blindness],0.057,0,0.0,,,1,0.824,,alverine,,
EPHA4,"EM_209.11 [Tall stature, acromegaly and gigantism]",0.057,0,0.0,,,1,0.565,,,vandetanib,
TLL1,GI_540.11 [Autoimmune hepatitis],0.057,0,0.0,,,0,0.0,,,,
PTPN22,MS_700.3 [Systemic sclerosis],0.057,0,0.0,,,0,0.114,,,,
PEX7,SO_380.3 [Optic atrophy],0.057,0,0.0,,,0,0.0,,,,
OGDHL,NS_341.1 [Cerebral palsy],0.057,0,0.0,,,0,0.002,,,,
RPL18A,SO_365.3 [Exophthalmos [Proptosis]],0.057,0,0.0,,,1,0.001,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
KLF2,NS_333.4 [Circadian rhythm sleep disorder],0.057,0,0.0,,,0,0.004,,,,
TMEM63A,GE_963.1 [Lipid storage disorders],0.057,0,0.0,,,0,0.001,,,,
TK2,CV_414.1 [Hypertrophic cardiomyopathy],0.057,0,0.0,,,0,0.027,,,,
RPS6KB1,GE_976.5 [Polycystic kidney disease],0.057,0,0.0,,,1,0.951,,,"ly-2584702, ly-2780301, msc-2363318a, tas0612, xl-418",
VCX3A,GE_977.1 [Congenital ichthyosis],0.057,0,0.0,,,0,0.0,,,,
NDUFS1,GE_972.2 [Hereditary ataxia],0.057,1,4.0,Inhibition,metformin (IV),1,0.992,,,"me-344, metformin, nv-128",
TET2,GE_978.3 [Osteochondrodysplasias],0.057,0,0.0,,,1,0.03,Activation,,,
SNRPD2,CV_433.3 [Cerebrovascular insufficiency],0.057,0,0.0,,,0,0.0,,,,
GP9,GI_516.1 [Pyloric stenosis],0.057,0,0.0,,,0,0.068,,,,
RPL37,CM_750.16 [Arnold-Chiari syndrome*],0.057,0,0.0,,,1,0.0,,,"cycloheximide, dorlimomab aritox, mt-3724","ataluren, elx-02"
CSF1R,GE_972.2 [Hereditary ataxia],0.057,0,0.0,,,1,0.996,Activation,,"amg-820, arry-382, axatilimab, cabiralizumab, ct-1578, edicotinib, emactuzumab, enmd-2076, imc-cs4, linifanib, pazopanib, pexidartinib, plx-5622, plx-7486, quizartinib, seralutinib, sunitinib, vatalanib",
FANCF,CV_441 [Arteriovenous malformation],0.057,0,0.0,,,0,0.001,,,,
GABRA1,CV_438.2 [Aneurysm of iliac or artery of lower extremity],0.057,0,0.0,,,1,1.0,,"abp-700, acamprosate, adipiplon, alprazolam, brexanolone, butabarbital, butalbital, cenobamate, chlordiazepoxide, cipepofol, clobazam, clomethiazole, clonazepam, clorazepate, clorazepic acid, clotiazepam, darigabat, desflurane, diazepam, enflurane, estazolam, eszopiclone, ethchlorvynol, etomidate, flunitrazepam, flurazepam, gaboxadol, ganaxolone, glutethimide, halazepam, halothane, indiplon, isoflurane, lorazepam, lorediplon, meprobamate, methaqualone, metharbital, methohexital, methoxyflurane, methyprylon, midazolam, oxazepam, padsevonil, pagoclone, pentobarbital, prazepam, primidone, propofol, quazepam, remimazolam, secobarbital, sevoflurane, talbutal, temazepam, tetrazepam, thiamylal, thiopental, topiramate, triazolam, triclofos, zaleplon, zolpidem, zopiclone, zuranolone","etifoxine, flumazenil, resequinil",
GATA6,CV_414.1 [Hypertrophic cardiomyopathy],0.057,0,0.0,,,0,0.01,,,,
LIMK1,CV_433.3 [Cerebrovascular insufficiency],0.057,0,0.0,,,1,0.518,,,,
THRA,GE_978.3 [Osteochondrodysplasias],0.057,0,0.0,,,1,0.998,Activation,"dextrothyroxine, levothyroxine, liothyronine",,
TIAL1,NS_344.2 [Benign intracranial hypertension],0.057,0,0.0,,,0,0.001,,,,
GJB1,GE_972.2 [Hereditary ataxia],0.057,0,0.0,,,0,0.003,Activation,,,
FMR1,NS_343.6 [Multi-system degeneration of the autonomic nervous system*],0.057,0,0.0,,,0,0.011,,,,
ETV6,GE_977.6 [Congenital cutaneous mastocytosis*],0.057,0,0.0,,,0,0.007,,,,
FAT4,GE_963.1 [Lipid storage disorders],0.057,0,0.0,,,0,0.001,,,,
KCNQ2,MB_306 [Conduct disorders],0.057,0,0.0,,,1,0.999,,"ezogabine, flindokalner","amifampridine, dalfampridine, guanidine, nerispirdine, tedisamil",
POSTN,MS_727.5 [Cyst of bone],0.057,0,0.0,,,1,0.004,Activation,,,
LRRC3B,GI_516.1 [Pyloric stenosis],0.057,0,0.0,,,0,0.001,,,,
CACNA1F,SO_380.3 [Optic atrophy],0.057,0,0.0,,,1,0.999,Activation,,"amlodipine, azd1305, azelnidipine, barnidipine, benidipine, bepridil, cilnidipine, cinnarizine, clevidipine, diltiazem, dronedarone, elpetrigine, enflurane, felodipine, isradipine, lacidipine, lercanidipine, levamlodipine, manidipine 6300, nicardipine, nifedipine, nilvadipine, nimodipine, nisoldipine, nitrendipine, phenytoin, phloroglucinol, suloctidil, terodiline, topiramate, verapamil","atagabalin, gabapentin, gabapentin enacarbil, imagabalin, pregabalin"
PSMA5,CM_750.16 [Arnold-Chiari syndrome*],0.057,0,0.0,,,1,0.859,,,"bortezomib, bortezomib d-mannitol, carfilzomib, ixazomib, marizomib, oprozomib",
HSPD1,CV_414.1 [Hypertrophic cardiomyopathy],0.057,0,0.0,,,1,0.011,,,,
ELAVL2,GE_972.2 [Hereditary ataxia],0.057,0,0.0,,,0,0.0,,,,
PPARG,CM_763.31 [Ventricular septal defect],0.057,0,0.0,,,1,0.998,,"aleglitazar, ave0847, balaglitazone, balsalazide, bezafibrate, chiglitazar, clx-0921, db959, efatutazone, etalocib, farglitazar, imiglitazar, indeglitazar, lanifibranor, leriglitazone, mesalamine, mk-0767, muraglitazar, naveglitazar, olsalazine, oms405, pioglitazone, rivoglitazone, rosiglitazone, saroglitazar, sodelglitazar, tesaglitazar, troglitazone","bardoxolone methyl, icosapent","arhalofenate, atx08-001, int131, mbx-2044, mk-0533, netoglitazone"
UBE2E3,SO_386.6 [Night blindness],0.057,0,0.0,,,0,0.0,,,,
PRKDC,GE_976.5 [Polycystic kidney disease],0.057,0,0.0,,,1,0.861,,,cc-115,
ANKHD1-EIF4EBP3,NS_344.2 [Benign intracranial hypertension],0.057,0,0.0,,,0,,,,,
SHANK3,BI_179.1 [Hypogammaglobulinemia NOS],0.057,0,0.0,,,1,0.024,,,,
MBP,NS_343.6 [Multi-system degeneration of the autonomic nervous system*],0.057,0,0.0,,,1,0.01,Activation,,,
TLR8,SO_386.5 [Color vision deficiencies],0.057,0,0.0,,,1,0.975,,"motolimod, resiquimod, selgantolimod, telratolimod","bazlitoran, enpatoran",
SIAH1,GI_540.11 [Autoimmune hepatitis],0.057,0,0.0,,,0,0.0,,,,
RNASEH2A,NS_341.1 [Cerebral palsy],0.057,0,0.0,,,0,0.002,,,,
TTL,CV_414.1 [Hypertrophic cardiomyopathy],0.057,0,0.0,,,0,0.0,,,,
KCNA5,GE_972.2 [Hereditary ataxia],0.057,1,2.0,Inhibition,dalfampridine (II),1,0.997,,,"amifampridine, dalfampridine, guanidine, nerispirdine, tedisamil, vernakalant",
AKR1B1,EM_209.4 [Diabetes insipidus],0.057,0,0.0,,,1,0.98,Activation,,"caficrestat, citric acid, epalrestat, sorbinil, tolrestat",
MSTN,GE_972.1 [Hereditary neuropathy],0.057,0,0.0,,,1,0.154,Activation,,"apitegromab, domagrozumab, landogrozumab, pf-03446879, ramatercept, stamulumab, trevogrumab",
TSPAN5,NS_333.4 [Circadian rhythm sleep disorder],0.057,0,0.0,,,0,0.001,,,,
