Gene,Phecode,RareGPS,Indication,Max phase,Gene expression,HGMD,Locus2gene,Mouse models,OTP clinical genetics,Text mining,Common variants,Rare variants,Rare variants (gene-level),Ultrarare variants (gene-level),Mantis-ML,Sources
DSP,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,2.081,3.511,0.407,1.656,0.241,3
UBE2N,SO_369.62 [Keratoconus],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.044,,,0.146,1
RAD51C,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,2.277,3.368,2.732,0.167,0.688,3
MAPK8IP1,CV_433.3 [Cerebrovascular insufficiency],0.054,1,1.0,0.0,0.0,0.0,0.0,0.0,0.142,1.432,3.015,0.135,0.135,0.108,3
KCNQ2,GE_961.1 [Phakomatoses],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.991,3.535,0.16,0.122,0.174,3
ENPP2,GI_540.11 [Autoimmune hepatitis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,1.927,3.496,1.013,0.297,,2
HRAS,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.799,1.738,0.102,0.986,2
DNM1L,GE_973.5 [Huntington's disease],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.424,,0.128,0.107,0.065,,1
POSTN,RE_484.1 [Spontaneous pneumothorax],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.147,0.897,0.477,0.2,0.968,2
ADCY1,CM_770.5 [Congenital osteodystrophies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,3.34,2.594,0.054,1.885,0.219,3
MDGA2,CM_770.5 [Congenital osteodystrophies],0.054,0,0.0,0.0,0.0,0.0,0.271,0.0,0.061,2.358,2.439,,0.042,0.253,4
DDR2,GU_580.1 [Acute nephritic syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,1.467,2.851,0.451,0.184,0.343,3
TUBA4A,NS_328.13 [Frontotemporal dementia [FTD]],0.054,0,0.0,0.011,0.0,0.0,0.0,0.0,0.11,,0.073,0.042,0.117,,2
THBS1,MS_704.1 [Polyarteritis nodosa and related conditions],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,4.919,1.936,,0.057,,2
RPS29,GE_961.1 [Phakomatoses],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.566,2.415,,,0.2,2
INS,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1,,0.048,0.985,1
RPL7,RE_484.1 [Spontaneous pneumothorax],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174,2.545,,,0.142,2
DHX15,CV_413.41 [Pulmonary valve stenosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.1,,0.022,0.289,2
CYP2B6,MS_727.5 [Cyst of bone],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,1.87,2.475,0.183,0.908,,2
HACE1,NS_341.1 [Cerebral palsy],0.054,0,0.0,0.0,0.862,0.0,0.0,0.525,0.035,3.121,3.216,0.161,0.194,0.479,4
SSBP3,EM_209.4 [Diabetes insipidus],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,1.847,,,0.247,2
CAMK4,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.0,0.0,0.311,0.503,0.014,1.923,2.322,1.238,0.171,0.713,5
RNASEH2B,GE_963.1 [Lipid storage disorders],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.148,1.862,0.197,0.157,0.907,2
IQCB1,SO_386.5 [Color vision deficiencies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.31,0.168,0.089,0.111,0.992,3
PPIA,SO_386.5 [Color vision deficiencies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.091,0.047,0.018,0.198,1
BMP4,GI_540.11 [Autoimmune hepatitis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,2.485,2.744,0.314,0.112,,2
DLL1,CV_414.1 [Hypertrophic cardiomyopathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,1.562,2.487,1.074,0.22,0.082,3
HRAS,SO_365.3 [Exophthalmos [Proptosis]],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.193,0.241,0.144,0.969,1
MAX,SO_386.5 [Color vision deficiencies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.51,0.077,0.031,0.073,0.276,3
CYP19A1,CM_770.5 [Congenital osteodystrophies],0.054,1,2.0,0.0,0.0,0.0,0.361,0.0,0.046,1.901,0.21,0.188,0.13,0.858,4
JAZF1,GE_970.1 [Sickle-cell disorders],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.979,0.106,0.019,0.094,,2
PDHA1,CV_414.1 [Hypertrophic cardiomyopathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.925,0.159,0.105,0.998,2
SNRPD2,RE_484.1 [Spontaneous pneumothorax],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.049,0.098,,,0.336,2
ALB,MS_712.51 [Hypermobility syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.362,0.232,,3.083,0.559,0.178,,3
PAX3,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.281,0.0,0.0,0.0,0.0,0.03,2.731,1.117,0.411,0.158,0.628,4
VDR,MS_727.3 [Osteitis deformans [Paget's disease of bone]],0.054,1,3.0,0.0,0.0,0.0,0.337,0.0,0.078,2.467,2.319,0.302,0.138,,3
CDKN1A,CV_413.41 [Pulmonary valve stenosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403,4.132,0.069,0.04,0.952,2
JAK2,GE_971.14 [Von Willebrand's disease],0.054,0,0.0,0.0,0.0,0.0,0.448,0.0,0.023,2.065,2.68,1.467,0.197,,3
ADCY1,"EM_209.11 [Tall stature, acromegaly and gigantism]",0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,2.302,2.648,0.051,0.092,,2
PSMC4,GE_972.9 [Muscular dystrophy],0.054,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.063,,0.095,0.29,1
GHR,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.054,1,3.0,0.0,0.0,0.0,0.0,0.0,0.164,1.703,2.622,0.389,0.112,,2
IFIH1,MS_727.5 [Cyst of bone],0.054,0,0.0,0.0,0.0,0.0,0.0,0.802,0.181,2.574,2.446,1.436,0.475,,3
EDNRB,RE_464.2 [Chronic nasopharyngitis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,2.173,0.413,0.089,0.08,,2
ATP7B,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.772,0.0,0.261,0.37,0.0,1.365,4.168,2.15,0.542,0.657,4
HIF1A,CM_763.31 [Ventricular septal defect],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.069,2.058,0.227,1.648,0.975,2
SDHC,GE_961.1 [Phakomatoses],0.054,0,0.0,0.0,0.0,0.0,0.0,0.402,0.026,,0.124,0.186,0.077,0.992,3
NRXN1,GE_963.1 [Lipid storage disorders],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,2.844,2.629,0.551,0.13,0.064,3
PAXIP1,SO_386.5 [Color vision deficiencies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654,2.5,0.045,0.019,0.281,2
DOCK8,BI_179.1 [Hypogammaglobulinemia NOS],0.054,0,0.0,0.0,0.758,0.0,0.0,0.0,0.012,2.908,3.832,0.627,0.334,0.927,4
C3,GI_542.8 [Biliary cirrhosis],0.054,0,0.0,0.0,0.0,0.0,0.269,0.0,0.261,2.054,2.681,0.524,0.233,,3
HADH,CV_414.1 [Hypertrophic cardiomyopathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.442,1.944,0.524,0.241,0.951,2
ITGB8,CV_414.1 [Hypertrophic cardiomyopathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,,3.59,2.642,0.225,0.068,3
BEAN1,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.426,0.0,0.431,0.0,0.029,,2.129,1.719,0.098,,4
FAF1,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,3.73,2.536,0.154,0.194,0.229,3
PPP2R2A,GE_977.1 [Congenital ichthyosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.685,0.064,,0.015,0.265,2
DNMT1,CV_433.3 [Cerebrovascular insufficiency],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,2.317,2.842,0.181,1.17,0.854,3
MYO1A,SO_369.62 [Keratoconus],0.054,0,0.0,0.0,0.0,0.0,0.359,0.0,0.03,,2.373,0.429,0.387,0.164,4
CD180,MS_700.3 [Systemic sclerosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,2.862,2.756,0.131,0.155,,2
TUBA1B,CV_433.3 [Cerebrovascular insufficiency],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.777,,,0.333,2
SBF1,CV_433.3 [Cerebrovascular insufficiency],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.883,3.99,,0.1,0.294,2
ABCA13,NS_328.13 [Frontotemporal dementia [FTD]],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,1.802,4.837,1.079,0.375,,2
ATG5,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.547,0.0,0.0,0.0,0.064,1.394,0.51,0.079,0.102,0.741,4
RAB24,SO_386.5 [Color vision deficiencies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.328,0.065,,0.03,0.225,2
COX6A2,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.628,0.267,0.087,0.905,2
MSC,GE_972.9 [Muscular dystrophy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185,3.771,0.026,0.062,0.134,2
GRIN2B,SO_380.3 [Optic atrophy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082,2.788,,,0.956,2
PRLR,"EM_209.11 [Tall stature, acromegaly and gigantism]",0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,2.229,1.73,1.884,0.118,,2
HMGA1,SO_380.3 [Optic atrophy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.049,,,0.341,1
EDNRA,GE_961.1 [Phakomatoses],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,,0.545,0.079,0.108,0.316,2
KPNB1,NS_333.4 [Circadian rhythm sleep disorder],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.183,,,0.338,1
DNAJB4,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.0,0.0,0.0,0.508,0.0,0.023,2.035,0.811,0.14,0.116,0.097,4
WNT3A,MS_700.3 [Systemic sclerosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,1.4,2.353,0.064,0.176,,2
RFWD3,BI_162.1 [Constitutional (hereditary) aplastic anemia],0.054,0,0.0,0.0,0.0,0.0,0.0,0.402,0.105,2.073,0.456,0.099,0.13,,3
BARD1,NS_344.2 [Benign intracranial hypertension],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.724,2.132,0.279,0.139,0.913,2
YAP1,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,1.774,2.751,1.213,0.157,0.84,3
KCNMA1,RE_464.2 [Chronic nasopharyngitis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,2.359,2.543,0.174,0.114,,2
SNRPE,BI_179.1 [Hypogammaglobulinemia NOS],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761,0.068,,,0.207,2
UBE2D2,CM_750.16 [Arnold-Chiari syndrome*],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.048,,0.006,0.263,1
NFIA,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.054,0,0.0,0.156,0.0,0.0,0.0,0.0,0.049,2.017,0.255,0.097,0.079,,3
CD14,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.665,1.092,0.134,2.295,0.922,2
MAGEB6,GI_516.1 [Pyloric stenosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.726,3.647,,0.042,0.084,2
VCAM1,SO_365.3 [Exophthalmos [Proptosis]],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,1.904,1.108,0.144,1.187,0.838,3
DACH1,BI_179.1 [Hypogammaglobulinemia NOS],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.348,1.73,,0.026,0.272,2
SLC40A1,GE_970.1 [Sickle-cell disorders],0.054,1,2.0,0.0,0.0,0.0,0.357,0.0,0.084,2.595,2.491,0.022,0.106,,3
NLRP3,NS_344.11 [Communicating hydrocephalus],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,1.994,0.641,0.05,0.078,,2
SOD2,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.0,0.0,0.3,0.0,0.102,,0.203,0.164,0.105,0.976,3
TGFBR2,NS_344.2 [Benign intracranial hypertension],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.955,2.759,0.236,0.113,0.977,2
STON2,SO_369.62 [Keratoconus],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,1.744,2.631,0.288,0.583,0.074,3
FLNA,GE_978.22 [Ehler's Danlos syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,,1.845,0.8,0.165,,3
NPEPPS,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,,0.839,0.187,0.193,0.189,2
KCNV1,GU_580.1 [Acute nephritic syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.069,,0.077,0.071,2
RPS5,GE_972.9 [Muscular dystrophy],0.054,1,4.0,0.0,0.0,0.0,0.0,0.0,0.03,,0.17,0.059,0.04,0.312,2
PVALB,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.072,0.0,0.0,0.0,0.0,0.032,1.959,0.101,0.076,0.081,0.955,4
HLA-A,NS_344.2 [Benign intracranial hypertension],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.579,0.975,0.09,0.921,2
YARS1,GE_972.1 [Hereditary neuropathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.657,0.072,,2.679,0.246,0.272,,3
MEIS2,DE_663.2 [Pemphigoid],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,3.32,1.96,0.096,1.578,,2
EP300,CV_438.41 [Aortic dissection],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.777,2.577,1.167,0.233,0.869,3
PITX2,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,2.953,1.556,0.13,0.084,,2
NFE2L2,GE_972.9 [Muscular dystrophy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,2.403,0.352,0.124,2.376,0.753,3
RAB35,MS_728.2 [Osteochondritis dissecans],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836,0.073,,2.392,,1
NLRP3,MS_728.2 [Osteochondritis dissecans],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,1.926,1.29,0.109,0.137,,2
YTHDF3,CM_763.13 [Patent ductus arteriosus],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388,0.04,,0.011,0.225,2
MEMO1,SO_380.3 [Optic atrophy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031,0.112,,0.074,0.146,2
SEZ6L,CV_433.3 [Cerebrovascular insufficiency],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,2.644,3.172,0.135,0.217,0.09,3
CSF1,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.054,0,0.0,0.0,0.0,0.359,0.0,0.0,0.385,2.368,3.498,0.023,0.04,,2
VAMP2,CM_751.213 [Congenital cataract],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.191,,0.017,0.326,1
MUC2,DE_663.2 [Pemphigoid],0.054,0,0.0,0.0,0.0,0.0,0.275,0.0,0.2,1.585,2.918,0.117,0.153,,3
ADRB1,"MB_280.4 [Sedative, hypnotic, or anxiolytic related disorders]",0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.667,2.21,0.032,0.044,,2
TRIM8,GU_580.51 [Focal and segmental glomerular lesions*],0.054,0,0.0,0.0,0.0,0.0,0.0,0.43,0.217,,1.153,0.142,0.034,,2
PRPH2,GE_974.3 [Hereditary choroidal dystrophies],0.054,0,0.0,0.0,0.0,0.0,0.637,0.574,0.111,,0.135,0.023,0.025,,3
CALU,NS_339.2 [Myotonic disorders],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,2.277,0.076,0.095,0.056,,2
ADGRB2,NS_341.1 [Cerebral palsy],0.054,0,0.0,0.0,0.547,0.0,0.0,0.0,0.024,1.864,3.072,0.314,0.167,,3
COL4A2,NS_347.1 [Cerebral cysts],0.054,0,0.0,0.0,0.0,0.0,0.0,0.719,0.066,2.937,2.689,0.424,0.372,,3
NR2E1,CV_414.1 [Hypertrophic cardiomyopathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.864,0.319,,0.097,0.137,2
HK1,DE_669.2 [Behcet's syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.728,0.108,0.133,0.122,,2
KIF5C,GE_961.1 [Phakomatoses],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.561,3.266,2.643,0.163,0.184,3
CD74,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.905,0.064,0.099,0.978,2
ACHE,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.054,1,3.0,0.0,0.0,0.0,0.29,0.0,0.093,,3.336,1.227,0.166,0.588,4
KLHL2,CM_770.5 [Congenital osteodystrophies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,1.903,1.768,0.05,0.095,0.13,3
SH3PXD2B,GE_978.3 [Osteochondrodysplasias],0.054,0,0.0,0.0,0.0,0.0,0.269,0.0,0.129,2.149,2.367,0.292,0.148,,3
BRINP3,NS_333.4 [Circadian rhythm sleep disorder],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.258,3.641,1.791,1.513,0.036,3
ARRB1,EM_209.4 [Diabetes insipidus],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.387,2.819,0.17,1.843,0.914,2
RELA,GE_972.9 [Muscular dystrophy],0.054,1,3.0,0.0,0.0,0.0,0.0,0.0,0.101,,2.747,0.05,0.067,0.581,3
FN1,MS_700.3 [Systemic sclerosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,3.022,3.002,0.348,0.126,,2
PTK2,CV_433.3 [Cerebrovascular insufficiency],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,2.121,0.248,0.313,1.113,0.826,3
TLR7,MS_704.2 [Wegener's granulomatosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,2.394,0.89,0.085,0.078,,2
ABL1,CV_438.41 [Aortic dissection],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,2.192,1.754,0.247,0.226,0.551,3
SCN1A,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.054,1,4.0,0.0,0.0,0.0,0.445,0.0,0.0,,2.357,0.361,0.583,0.371,3
ADAR,GE_961.1 [Phakomatoses],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,1.955,2.806,0.218,0.213,0.313,3
DKK2,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,2.537,2.056,0.196,0.1,0.118,3
FOXP2,GE_961.1 [Phakomatoses],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,2.706,2.447,0.435,0.169,0.405,3
SIRPA,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,1.905,1.663,0.285,0.091,0.874,3
TREM1,DE_663.1 [Pemphigus],0.054,0,0.0,0.0,0.0,0.0,0.429,0.0,0.064,3.534,0.189,0.065,0.063,,3
FBXL4,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.084,1.704,0.463,0.189,0.965,2
GLE1,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.0,0.862,0.0,0.0,0.443,0.084,,2.118,0.712,0.38,0.399,4
CDH2,GI_540.11 [Autoimmune hepatitis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,3.35,2.399,0.109,0.226,,2
TP53,SO_373.2 [Choroidal degenerations],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,2.032,3.462,0.085,0.068,,2
KLF2,SO_380.3 [Optic atrophy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.028,0.259,,0.028,0.17,2
ERH,CM_770.5 [Congenital osteodystrophies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.597,0.096,,0.021,0.212,2
DHX30,CV_414.1 [Hypertrophic cardiomyopathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,1.399,3.195,0.276,0.148,0.253,3
GAS1,SO_380.3 [Optic atrophy],0.054,0,0.0,0.0,0.0,0.0,0.265,0.0,0.0,2.943,1.927,0.03,0.045,0.205,3
TMEM158,CM_770.5 [Congenital osteodystrophies],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,,2.673,0.044,0.042,0.236,3
CCL2,BI_179.1 [Hypogammaglobulinemia NOS],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.272,,0.038,0.981,1
PRKAA1,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,4.667,0.724,0.27,0.225,0.309,3
THBD,DE_669.2 [Behcet's syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,2.0,2.6,0.055,0.045,,2
PTPN6,DE_663.2 [Pemphigoid],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,,0.563,0.446,0.127,,1
SNAI2,SO_380.3 [Optic atrophy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.336,0.127,,0.081,0.229,2
MAG,GE_972.1 [Hereditary neuropathy],0.054,0,0.0,0.0,0.0,0.0,0.306,0.0,0.244,2.137,2.356,0.615,0.202,,3
DNMT3B,GI_540.11 [Autoimmune hepatitis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,1.631,1.683,0.201,1.08,,2
CARM1,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.674,1.786,0.047,0.14,0.015,3
COL5A2,GE_978.22 [Ehler's Danlos syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.783,0.122,1.506,3.103,0.814,1.356,,3
CNR1,MB_293.1 [Anorexia nervosa],0.054,1,3.0,0.0,0.0,0.0,0.0,0.0,0.083,2.803,0.191,0.137,0.153,,2
VEGFC,CV_414.1 [Hypertrophic cardiomyopathy],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,3.35,1.393,,0.041,0.279,3
GPAT4,CV_413.42 [Pulmonary valve insufficiency*],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.545,0.411,,0.208,,1
SCN1A,SO_380.3 [Optic atrophy],0.054,0,0.0,0.0,0.0,0.0,0.257,0.0,0.036,2.046,3.283,0.34,0.73,0.983,4
MSI2,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.032,0.0,0.0,0.0,0.0,0.035,2.46,2.392,0.18,0.159,0.159,4
NR3C1,DE_663.2 [Pemphigoid],0.054,1,4.0,0.0,0.0,0.0,0.0,0.0,0.062,1.682,2.821,0.19,0.125,,2
TOP2A,MS_700.3 [Systemic sclerosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,,2.736,0.341,0.211,,2
GAD1,GU_580.52 [Diffuse membranous glomerulonephritis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,2.2,0.304,0.051,0.099,,2
GAD1,NS_324.2 [Degenerative diseases of the basal ganglia (excluding parkinsonism)],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,2.376,2.0,0.065,0.15,0.267,3
ELMO1,MS_700.3 [Systemic sclerosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.396,2.486,2.399,0.186,,2
TBX4,RE_484.1 [Spontaneous pneumothorax],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,2.142,3.73,2.206,0.18,0.245,3
GLI2,GE_972.2 [Hereditary ataxia],0.054,0,0.0,0.0,0.0,0.0,0.31,0.0,0.012,3.464,3.038,0.445,0.329,0.969,4
TOR1A,NS_323.3 [Motor neuron disease],0.054,0,0.0,0.0,0.0,0.0,0.265,0.0,0.032,2.808,2.268,0.785,1.077,0.103,4
GOLGB1,GE_978.3 [Osteochondrodysplasias],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,1.986,4.009,0.984,0.496,,2
FBN2,MS_712.51 [Hypermobility syndrome],0.054,0,0.0,0.0,0.0,0.0,0.0,0.369,0.012,2.151,2.939,0.714,0.233,,3
ADRB1,MS_705.2 [Juvenile rheumatoid arthritis [JRA/JIA]],0.054,0,0.0,0.037,0.0,0.0,0.0,0.0,0.012,1.904,1.923,0.035,0.029,,3
TP53BP2,GI_540.11 [Autoimmune hepatitis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,1.656,2.957,0.112,1.923,,2
HBB,BI_161.2 [Extrinsic (acquired) hemolytic anemias],0.054,0,0.0,0.0,0.886,0.0,0.0,0.452,0.075,,2.127,1.922,0.051,0.997,4
PLXNB1,MS_700.3 [Systemic sclerosis],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,,3.191,0.639,0.622,,2
NDUFS8,NS_341.1 [Cerebral palsy],0.054,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865,0.148,0.235,0.111,0.969,2
LOXL3,SO_369.62 [Keratoconus],0.054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,1.993,2.506,0.373,0.299,0.195,3
FNIP1,CV_416.8 [Pre-excitation syndrome [Anomalous atrioventricular excitation]],0.054,0,0.0,0.0,0.426,0.0,0.0,0.151,0.018,,2.192,,0.08,0.51,4
IL23R,DE_669.2 [Behcet's syndrome],0.054,0,0.0,0.0,0.0,0.108,0.0,0.0,0.444,,4.465,0.628,0.071,,2
